index,anomalia
0,-1
1,0
2,0
3,1
4,0
5,1
6,0
7,2
8,0
9,2
10,3
11,2
12,4
13,2
14,2
15,1
16,2
17,1
18,3
19,3
20,2
21,5
22,4
23,5
24,5
25,5
26,5
27,5
28,5
29,5
30,5
31,5
32,5
33,5
34,5
35,5
36,5
37,5
38,5
39,5
40,5
41,5
42,0
43,-1
44,1
45,0
46,4
47,-1
48,3
49,0
50,0
51,3
52,-1
53,0
54,1
55,1
56,3
57,3
58,3
59,0
60,3
61,0
62,5
63,0
64,4
65,0
66,4
67,-1
68,-1
69,4
70,0
71,0
72,6
73,6
74,0
75,2
76,2
77,0
78,6
79,6
80,-1
81,-1
82,6
83,6
84,6
85,2
86,3
87,0
88,1
89,0
90,1
91,0
92,1
93,1
94,2
95,0
96,2
97,7
98,2
99,2
100,0
101,2
102,2
103,2
104,3
105,2
106,2
107,2
108,2
109,2
110,2
111,2
112,2
113,2
114,2
115,2
116,2
117,2
118,2
119,2
120,2
121,2
122,2
123,2
124,2
125,2
126,2
127,2
128,2
129,2
130,2
131,2
132,2
133,2
134,2
135,2
136,2
137,2
138,2
139,2
140,2
141,2
142,2
143,2
144,2
145,2
146,2
147,2
148,2
149,2
150,2
151,2
152,2
153,2
154,2
155,2
156,2
157,2
158,2
159,2
160,2
161,2
162,2
163,2
164,2
165,2
166,2
167,2
168,2
169,2
170,2
171,2
172,2
173,2
174,2
175,2
176,2
177,2
178,2
179,2
180,2
181,2
182,2
183,2
184,2
185,2
186,2
187,2
188,2
189,2
190,2
191,2
192,2
193,2
194,2
195,2
196,2
197,2
198,2
199,2
200,2
201,2
202,2
203,2
204,2
205,2
206,2
207,2
208,2
209,2
210,2
211,2
212,2
213,2
214,2
215,2
216,2
217,2
218,2
219,2
220,2
221,2
222,2
223,2
224,2
225,2
226,2
227,2
228,2
229,2
230,2
231,2
232,2
233,2
234,2
235,2
236,2
237,2
238,2
239,2
240,2
241,2
242,-1
243,2
244,2
245,2
246,2
247,2
248,2
249,2
250,2
251,2
252,2
253,2
254,2
255,2
256,2
257,2
258,2
259,2
260,2
261,2
262,2
263,2
264,2
265,2
266,2
267,2
268,2
269,2
270,2
271,2
272,2
273,2
274,2
275,2
276,2
277,2
278,2
279,2
280,2
281,2
282,2
283,2
284,2
285,2
286,2
287,2
288,2
289,2
290,2
291,2
292,2
293,2
294,2
295,2
296,2
297,2
298,2
299,2
300,2
301,2
302,2
303,2
304,2
305,2
306,2
307,2
308,2
309,2
310,2
311,2
312,2
313,2
314,2
315,2
316,2
317,2
318,2
319,2
320,2
321,2
322,2
323,2
324,2
325,2
326,2
327,2
328,2
329,2
330,2
331,2
332,2
333,2
334,2
335,2
336,2
337,2
338,2
339,2
340,2
341,2
342,2
343,2
344,2
345,2
346,2
347,2
348,2
349,2
350,2
351,2
352,2
353,2
354,2
355,2
356,2
357,2
358,2
359,2
360,2
361,2
362,2
363,2
364,2
365,2
366,2
367,2
368,2
369,2
370,2
371,2
372,2
373,1
374,0
375,1
376,7
377,-1
378,3
379,2
380,-1
381,2
382,2
383,2
384,2
385,2
386,2
387,2
388,2
389,2
390,0
391,2
392,4
393,-1
394,2
395,2
396,2
397,2
398,0
399,2
400,4
401,0
402,3
403,2
404,2
405,2
406,0
407,2
408,1
409,2
410,-1
411,1
412,2
413,2
414,2
415,2
416,1
417,1
418,4
419,1
420,2
421,1
422,3
423,2
424,2
425,0
426,0
427,1
428,2
429,2
430,2
431,4
432,2
433,1
434,2
435,0
436,2
437,2
438,0
439,2
440,2
441,1
442,1
443,1
444,2
445,2
446,2
447,3
448,2
449,0
450,2
451,7
452,3
453,-1
454,1
455,0
456,0
457,8
458,8
459,8
460,3
461,-1
462,0
463,1
464,8
465,8
466,1
467,0
468,0
469,-1
470,-1
471,1
472,7
473,1
474,1
475,4
476,2
477,2
478,2
479,2
480,2
481,2
482,2
483,2
484,4
485,1
486,2
487,2
488,2
489,2
490,2
491,2
492,2
493,-1
494,0
495,2
496,2
497,1
498,9
499,1
500,-1
501,0
502,1
503,1
504,4
505,4
506,3
507,2
508,7
509,3
510,8
511,3
512,0
513,3
514,3
515,2
516,0
517,9
518,3
519,4
520,3
521,3
522,0
523,8
524,3
525,-1
526,1
527,1
528,1
529,1
530,10
531,1
532,10
533,3
534,0
535,8
536,1
537,-1
538,-1
539,0
540,1
541,1
542,1
543,1
544,1
545,0
546,9
547,9
548,9
549,9
550,9
551,9
552,9
553,9
554,9
555,9
556,9
557,9
558,9
559,9
560,9
561,9
562,9
563,9
564,9
565,1
566,0
567,2
568,1
569,2
570,0
571,0
572,0
573,0
574,1
575,0
576,0
577,1
578,0
579,0
580,1
581,0
582,4
583,1
584,0
585,1
586,0
587,-1
588,0
589,1
590,4
591,0
592,1
593,0
594,2
595,10
596,0
597,4
598,2
599,2
600,2
601,1
602,0
603,2
604,4
605,3
606,3
607,0
608,1
609,-1
610,2
611,4
612,-1
613,1
614,1
615,1
616,1
617,1
618,1
619,0
620,4
621,1
622,0
623,0
624,1
625,1
626,9
627,9
628,9
629,9
630,9
631,9
632,9
633,9
634,9
635,9
636,9
637,9
638,9
639,9
640,9
641,9
642,9
643,9
644,9
645,9
646,9
647,9
648,9
649,9
650,-1
651,9
652,9
653,9
654,9
655,9
656,1
657,0
658,9
659,9
660,9
661,-1
662,9
663,9
664,1
665,10
666,4
667,1
668,1
669,8
670,1
671,-1
672,0
673,4
674,10
675,1
676,10
677,10
678,1
679,1
680,1
681,4
682,1
683,1
684,4
685,1
686,0
687,1
688,3
689,0
690,10
691,-1
692,0
693,0
694,1
695,0
696,1
697,0
698,1
699,1
700,-1
701,0
702,0
703,0
704,0
705,-1
706,0
707,-1
708,-1
709,-1
710,1
711,0
712,0
713,1
714,1
715,2
716,2
717,2
718,2
719,2
720,2
721,2
722,0
723,0
724,11
725,11
726,12
727,12
728,12
729,11
730,11
731,13
732,14
733,14
734,14
735,14
736,11
737,11
738,11
739,11
740,11
741,15
742,-1
743,15
744,15
745,11
746,14
747,15
748,15
749,11
750,14
751,14
752,14
753,14
754,12
755,15
756,14
757,14
758,16
759,15
760,13
761,14
762,12
763,14
764,14
765,14
766,14
767,12
768,14
769,15
770,14
771,11
772,14
773,14
774,14
775,15
776,15
777,13
778,12
779,13
780,15
781,14
782,14
783,14
784,15
785,15
786,15
787,14
788,16
789,15
790,-1
791,15
792,15
793,15
794,15
795,13
796,13
797,14
798,15
799,14
800,15
801,-1
802,14
803,15
804,15
805,12
806,15
807,14
808,12
809,14
810,15
811,14
812,14
813,-1
814,-1
815,14
816,14
817,14
818,15
819,14
820,12
821,14
822,14
823,14
824,-1
825,14
826,14
827,14
828,11
829,15
830,15
831,15
832,15
833,16
834,14
835,14
836,14
837,15
838,14
839,14
840,14
841,12
842,14
843,15
844,15
845,14
846,14
847,15
848,15
849,15
850,14
851,15
852,14
853,14
854,14
855,15
856,15
857,15
858,15
859,14
860,14
861,15
862,14
863,15
864,15
865,11
866,14
867,15
868,15
869,14
870,15
871,15
872,15
873,16
874,15
875,16
876,15
877,15
878,14
879,12
880,15
881,15
882,15
883,15
884,14
885,17
886,14
887,15
888,14
889,15
890,12
891,15
892,-1
893,18
894,18
895,18
896,14
897,11
898,14
899,15
900,14
901,15
902,15
903,15
904,15
905,14
906,14
907,14
908,15
909,-1
910,11
911,11
912,11
913,11
914,11
915,15
916,-1
917,11
918,15
919,15
920,14
921,14
922,-1
923,16
924,15
925,15
926,15
927,15
928,14
929,15
930,15
931,15
932,15
933,15
934,15
935,17
936,12
937,17
938,15
939,15
940,18
941,14
942,14
943,11
944,11
945,11
946,11
947,11
948,11
949,11
950,11
951,11
952,11
953,11
954,11
955,11
956,11
957,11
958,11
959,11
960,11
961,11
962,11
963,15
964,14
965,14
966,15
967,18
968,14
969,-1
970,15
971,15
972,15
973,17
974,15
975,17
976,14
977,14
978,14
979,17
980,14
981,14
982,14
983,17
984,17
985,16
986,14
987,15
988,14
989,14
990,14
991,17
992,15
993,14
994,17
995,15
996,14
997,15
998,15
999,15
1000,-1
1001,14
1002,14
1003,14
1004,12
1005,11
1006,12
1007,14
1008,15
1009,14
1010,15
1011,14
1012,14
1013,15
1014,14
1015,12
1016,14
1017,12
1018,12
1019,12
1020,12
1021,12
1022,12
1023,12
1024,17
1025,14
1026,14
1027,14
1028,14
1029,15
1030,14
1031,15
1032,15
1033,14
1034,14
1035,15
1036,14
1037,15
1038,15
1039,15
1040,15
1041,15
1042,15
1043,15
1044,15
1045,14
1046,15
1047,14
1048,14
1049,15
1050,14
1051,15
1052,14
1053,14
1054,14
1055,15
1056,15
1057,15
1058,14
1059,12
1060,15
1061,14
1062,15
1063,15
1064,14
1065,14
1066,14
1067,14
1068,14
1069,15
1070,15
1071,15
1072,15
1073,14
1074,14
1075,12
1076,15
1077,15
1078,15
1079,14
1080,15
1081,19
1082,14
1083,14
1084,14
1085,14
1086,18
1087,12
1088,15
1089,14
1090,14
1091,11
1092,-1
1093,15
1094,12
1095,14
1096,15
1097,12
1098,15
1099,14
1100,14
1101,-1
1102,14
1103,14
1104,14
1105,14
1106,12
1107,-1
1108,15
1109,12
1110,14
1111,14
1112,15
1113,14
1114,-1
1115,-1
1116,-1
1117,15
1118,-1
1119,-1
1120,14
1121,12
1122,-1
1123,14
1124,14
1125,15
1126,15
1127,14
1128,15
1129,15
1130,12
1131,-1
1132,15
1133,19
1134,15
1135,15
1136,14
1137,15
1138,15
1139,14
1140,14
1141,12
1142,15
1143,14
1144,19
1145,15
1146,-1
1147,15
1148,14
1149,15
1150,15
1151,15
1152,15
1153,15
1154,15
1155,19
1156,14
1157,15
1158,15
1159,15
1160,11
1161,19
1162,12
1163,15
1164,14
1165,12
1166,14
1167,15
1168,15
1169,12
1170,14
1171,12
1172,14
1173,15
1174,12
1175,14
1176,15
1177,15
1178,14
1179,14
1180,17
1181,15
1182,12
1183,14
1184,14
1185,15
1186,-1
1187,15
1188,-1
1189,12
1190,19
1191,14
1192,12
1193,14
1194,19
1195,14
1196,14
1197,14
1198,15
1199,12
1200,12
1201,11
1202,11
1203,11
1204,11
1205,11
1206,11
1207,11
1208,11
1209,11
1210,11
1211,11
1212,11
1213,11
1214,11
1215,11
1216,11
1217,11
